brand,name,color,type,collection,Formula
Julep ,Marie,Pink,Metallic,,
KB Shimmer,Totally Tubular,Fuchsia Blue,Hex Glitter,,
KB Shimmer,Proud Peacock,Green Blue Purple,Hex Glitter,,
Konad,Blue ,Blue,Stamping Polish,,
Konad,Green,Green,Stamping Polish,,
Konad,Hepburn Blue,Blue,Stamping Polish,,
Konad,Magenta,Magenta,Stamping Polish,,
Konad,Red,Red ,Stamping Polish,,
Konad,Orange Pearl,Orange,Stamping Polish,,
Konad,Royal Purple,Purple,Stamping Polish,,
Konad,Pastel Violet,Violet,Stamping Polish,,
Konad,Black,Black,Stamping Polish,,
Konad,White,White,Stamping Polish,,
Konad,Gold,Gold ,Stamping Polish,,
Konad,Silver,Silver,Stamping Polish,,
Konad,Indigo Pink,Champagne,Stamping Polish,,
L'Oreal,Greycian Goddess,Medium Grey,Creme,,
L'Oreal,Eiffel for You,Grey Purple,Creme,,
L'Oreal,Walk on the Beach,Beige,Creme,,
Layla,Stone,Grey Purple,Suede,,
Layla,Ol Gun Metal,Silver,Magnetic,,
Love and Beauty (Forever 21),Cloud,Dusty Blue,Satin,,
Love and Beauty (Forever 21),Bronze,Peach Silver,Hex Glitter,,
Milani,Mystery Mauve,Purple,Textured,,
Milani,Lovely Lavender,Light Purple,Textured,,
model's own,Ibiza Mix,Multicoloured,Hex Glitter,,
model's own,Rocket,Red Orange,String Glitter,,
ncLA,Not So Sweet,Pink ,Creme,,5 free
ncLA,As If!,Light Purple,Creme,,5 free
ncLA,Sugar Fix,Grey Fuchsia Blue,Hex Glitter,,5 free
ncLA,The Spa Comes to Me!,Olive Green,Creme,,5 free
ncLA,Glitter Riot,Tan Black Silver,Glitter,,5 free
ncLA,Mostly Sunny with a Chance of Sprinkles,Blue Black,Glitter,,5 free
NFU Oh,JSO4,White,Jelly,,
NFU Oh,61,Silver,Holographic,,
NFU Oh,51,Orange (Purple),Flakie,,
NFU Oh,39,Blue Green,Flakie,,
NFU Oh,Aqua Base,n/a,Holo Base,,
Nicole (by OPI),Blues in the Night,Dark Blue,Glass Flecked,,
Nicole (by OPI),Iceberg Lotus,Green,Shimmer,,
Nicole (by OPI),It's Possible,Champagne,Metallic,,
Nicole (by OPI),Shell me the Truth,Pink,Pearl,,
Nicole (by OPI),Honey-Dew You Love Me?,Teal ,Shape Glitter,,
Nubar,Twilight,Medium Grey,Suede,,
Nubar,Dare You to Dragonfly,Light Teal ,Creme,,
Nubar,Prevail,Purple,Matte,,
Nubar,Sunset,Gold Bronze,Suede,,
Nubar,Classic Camel,Beige,Creme,,
Nubar,Faded Putty,Beige,Creme,,
Nubar,Merci,White,Sheer,,
OPI,"Uh-oh, Roll Down the Window",Olive Green,Creme,,
OPI,Black Onyx,Black,Creme,,
OPI,I Don't Give a Rotterdam,Medium Grey,Glass Flecked,,
OPI,Not Like the Movies,Silver,Foil,,
OPI,Haven't the Foggiest,Silver,Foil,,
OPI,I Vant to be A-Lone Star,Grey-Silver,Pearl,,
OPI,I Saw... U Saw... We Saw... Warsaw,Navy Blue,Creme,,
OPI,Nein! Nein! Nein! OK Fine!,Olive Green,Creme,,
OPI,Stainless Steel,Green/Purple,Duochrome,,
OPI,Suzi Takes the Wheel,Grey/Brown,Creme,,
OPI,A Woman's Prague-Ative,Orange Bronze,Glass Flecked,,
OPI,Alpine Snow,White,Creme,,
OPI,Love Angel Music Baby,Gold ,Matte,,
OPI,Ski Teal we Drop,Dark Teal,Creme,,
OPI,Just Groovy,Medium Blue,Creme,,
OPI,Fly,Turquoise,Creme,,
OPI,Green-Wich Village,Green,Creme,,
OPI,Mermaid's Tears,Light Teal Green,Creme,,
OPI,Hey! Get in Lime,Light Green,Creme,,
OPI,Go on Green,Seafoam Green,Shimmer,,
OPI,Gargantuan Green Grape,Light Green,Creme,,
OPI,William Tell me About OPI,Red Black,Creme,,
OPI,Vant to Bite My Neck?,Red Black,Creme,,
OPI,Russian Navy,Deep Purple,Creme,,
OPI,Suzy Loves Cowboys,Dark Brown,Creme,,
OPI,Warm Me Up,Dark Brown,Glass Flecked,,
OPI,You Don't Know Jaques,Grey Brown,Creme,,
OPI,Just a Little Rosti at This,Deep Red,Creme,,
OPI,It's My Year,Red Purple,Shimmer,,
OPI,Warm and Fozzie,Red Copper,Shimmer,,
OPI,Brisbane Bronze,Bronze,Foil,,
OPI,San-Tan-Tonio,Tan,Creme,,
OPI,The Colour to Watch,Lilac,Glass Flecked,,
OPI,Do you Lilac it?,Light Purple,Creme,,
OPI,You're Such a Budapest,Periwinkle,Creme,,
OPI,Tickle My Francey,Mauve,Creme,,
OPI,Glitzerland,Gold ,Foil,,
OPI,Did you Ear About Van Gogh?,Beige,Creme,,
OPI,Mod About You,Pink,Creme,,
OPI,Barre My Soul,Pink,Sheer,,
OPI,Up Front and Personal,Champagne,Foil,,
OPI,My Vampire is Buff,Off White,Creme,,
OPI,Care to Danse,Lilac,Sheer,,
OPI,Need Sunglasses?,Yellow,Creme,,
OPI,Emotions,Black,Textured,,
OPI,Vesper,Purple,Textured,,
OPI,Stay the Night,Black/Red,Textured,,
OPI,What Wizardry is This?,Olive Green/Gold,Textured,,
OPI,It's all San Andreas' Fault,Brown Grey,Textured,,
OPI,Solitaire,Solitaire,Textured,,
OPI,Black Shatter,Black,Crackle,,
OPI,Silver Shatter,Silver,Crackle,,
OPI,Turquoise Shatter,Turquoise,Crackle,,
OPI,White Shatter,White,Crackle,,
OPI,My Private Jet,Black,Holographic,,
OPI,Metallic 4 Life,Silver Black,Hex Glitter,,
OPI,Polka.com,Fuchsia Blue,Hex Glitter,,
OPI,Suzi's Hungary Again!,Coral,Creme,,
OPI,Glints of Glinda,Nude,Sheer,,
OPI,Gaining Mole-Mentum,Pink/Gold,Glitter Shards,,
OPI,This Gown Needs a Crown,Silver,Suede,,
OPI,The Living Daylights,Silver Copper Blue,Hex Glitter,,
OPI,When Monkeys Fly,Gold Silver,Large Hex Glitter,,
OPI,Lights of Emerald City,White Iridescent,Square Glitter,,
OPI,I Snow You Love Me,Silver,Large Hex Glitter,,
OPI,Save Me,Silver,String Glitter,,
OPI,Berlin There Done That,Taupe,Creme,,
OPI,Frog in my Throat,Green/Gold,Duochrome,,
OPI,I Juggle Men,Iridescent,Glitter,,
OPI,Nail Envy,n/a,Original,Nail Envy,
OPI,Nail Envy,n/a,Matte,Nail Envy,
OPI,4 in the Morning,Black,Matte,,
OPI ,My Pointe Exactly,Light Grey,Sheer,,
OPI,Next Stop the Bikini Zone,Purple/Grey,Duochrome,Brazil Collection (Summer 2014),
OPI,Don't Bossa Nova Me Around,Nude/Grey,Creme,Brazil Collection (Summer 2014),
OPI,Taupe-less Beach,Taupe,Creme,Brazil Collection (Summer 2014),
OPI,I Sao Paulo Over There,Mauve,Creme,Brazil Collection (Summer 2014),
OPI,Amazon...Amazoff,Teal ,Creme/Shimmer,Brazil Collection (Summer 2014),
OPI,OPI Scores a Goal,Deep Purple,Creme,Brazil Collection (Summer 2014),
OPI,I Just Can't Cope-Acabana,Yellow,Creme,Brazil Collection (Summer 2014),
OPI,Where Did Suzi's Man-Go?,Orange,Creme,Brazil Collection (Summer 2014),
OPI,Toucan Do It If You Try,Orange,Creme,Brazil Collection (Summer 2014),
OPI,Kiss Me I'm Brazillian,Pink,Creme,Brazil Collection (Summer 2014),
OPI,"Live, Love, Carnaval",Coral,Creme,Brazil Collection (Summer 2014),
OPI,Red Hot Rio,Red ,Creme,Brazil Collection (Summer 2014),
OPI ,Zom-body to Love,Light Green,Satin,,
ORLY,Bonder,n/a,Rubberized Base Coat,,
ORLY,Pink Flakie Topcoat,Pink,Flakie Matte,,
Paint Box Polish,Slightly Unstable,Dark Green,Holographic,,
Paint Box Polish,Mama Lion,Bronze Brown,Glass Flecked,,
Paint Box Polish,His Chosen One,Gold Cream,Flakie,,
Picture Polish,Sky,Light Blue,Creme,,
Picture Polish,Festival,Multicoloured,Flakie,,
pop,17 turquoise,Teal Blue,Satin,,
Revlon,Popular,Pink Silver,Hex Glitter,,
Revlon,Whimsical,Pink Blue,Hex Glitter,,
rescue beauty lounge,Footpath,Mustard,Creme,,
Sally Hansen ,Fairy Teal,Dark Teal,Creme,,
Sally Hansen ,Plum Luck,Deep Purple,Creme,,
Sally Hansen ,Mermaid's Tale,Blue Green,Hex Glitter,,
Sally Hansen ,All Yarned Up,Pastel Colours,String Glitter,,
Sally Hansen ,Disco Ball,Iridescent,Glitter,,
Sally Hansen Chrome,White Gold,Silver,Metallic,,
