brand,name,collection,color,type,Notes,
Nail Fetish,Icon,,Olive green,Shimmer,,
Nail Fetish,Storm,,Teal,Shimmer,,
Nail Fetish,Tank Top,,Magenta,Shimmer,,
Nail Gear,Diamond,,Iridescent,Bar glitter,,
Nail Gear,Jade,,Green,Shimmer,,
Nail Gear,Luck,,Green w/ silver glitter,Glitter,,
Nail Gear,Mello,,Taupe w/ gold,Shimmer,,
Nail Gear,Opal,,White/pink,Shimmer,,
Nail Gear,Shag,,Grass green,Shimmer,,
Nail Venturous,Robin Laid an Egg,,White w/ multi,Glitter,,
Nail-Venturous,Floam,,Green multi,Glitter,,
Nails Inc.,Primrose Hill,,Purple ,Shimmer,Crystal cap,
Nails Inc.,Saville Row,,Eggplant,Creme,,
Nars,Mash,,Olive green,Shimmer,,
Nars,Zulu,,Blackened green,Jelly,,
Nat Robbins,Greed,,Green,Shimmer,,
Naturistics,(no name),,White w/ silver,Glitter,mini,
Naturistics,(no name),,Pale blue,Shimmer,mini,
Naturistics,(no name),,Blue multi,Glitter,mini,
Naturistics,(no name),,Pink w/ silver,Glitter,mini,
Naturistics,(no name),,Blue w/ multi,Glitter,mini,
Naturistics,Fool's Gold Pearl,,Green,Shimmer,,
Naturistics,Periwinkle Pearl,,Purple,Shimmer,,
Nfu Oh,51,,Purple color shift,Flakie,,
Nicole by OPI,Just Busta Mauve,,Mauve w/ gold,Glass fleck,,
Nicole by OPI,Kim-pletely in Love,,Pink,Shimmer,,
Nicole by OPI,Shoot for the Maroon,,Maroon,Glass fleck,,
Nicole by OPI,Virtuous Violet,,Purple,Shimmer,,
Nicole by OPI,You're an Angel,,Pink w/ gold ,Shimmer,,
Nubar,Indigo Illusion,,Blue/pink,Duochrome,,
Nubar,Peacock Feathers,,Blue,Multichrome,,
Nubar,Reclaim,,Green,Holo,,
Nubar,Wildlife,,Green/bronze,Duochrome,,
Nubar - Spells,Silver Spark,,Silver holo,Holo glitter,,
NYC,Peach Sparkle,,Peach,Shimmer,,
Obsessive Compulsive Cosmetics,Jack O,,Orange,Creme,,
OPI,Absolutely Alice,Alice in Wonderland,Blue and gold,Glitter,,
OPI,Mad as a Hatter,Alice in Wonderland,Multi glitter,Glitter,,
OPI,"Bright Lights, Big Color",Brights,Coral ,Shimmer,,
OPI,OPI Ink,Brights,Purple,Shimmer,,
OPI,My Throne for a Cranberry Scone,British,Berry pink,Creme,,
OPI,Simmer and Shimmer,Burlesque,Blue multi,Glitter,,
OPI,Sparkle-icious,Burlesque,Gold multi,Glitter,,
OPI,Got the Blues for Red,Chicago,Red,Creme,,
OPI,Lincoln Park After Dark,Chicago,Purple,Creme,,
OPI,DS Extravagance,DS,Magenta,Holo glitter,,
OPI,DS Glamour,DS,Royal blue ,Holo,,
OPI,DS Shimmer,DS,Silver,Holo,,
OPI,Mauna Loa Lava,Fall/Winter 1992,Red,Jelly,,
OPI,Revved Up & Red-y,Ford Mustang,Red,Hidden Shimmer,,
OPI,Parlez Vouz OPI?,France,Dusty purple,Creme,,
OPI,Tickle My France-y,France,Taupe nude,Creme,,
OPI,You Don't Know Jacques,France,Brown ,Creme,,
OPI,Unripened,Go Goth Halloween 2010,Black w/ turquoise,Glass fleck,,
OPI,Never Lon-done Shopping,Holiday 2005,Red,Shimmer,,
OPI,La Boheme,Holiday on Broadway,Red,Color shift shimmer,,
OPI,Movin Out,Holiday on Broadway,Pink color shift,Shimmer,,
OPI,Crimson Carol,Holiday Wishes,Red,Glass fleck,,
OPI,Holiday Glow,Holiday Wishes,Brown with gold,Shimmer,,
OPI,Merry Midnight,Holiday Wishes,Purple ,Flakie,,
OPI,Smitten with Mittens,Holiday Wishes,Red,Glass fleck,,
OPI,I Don't Give a Rotterdam ,Holland,Periwinkle,Glass fleck,,
OPI,Pedal Faster Suzi,Holland,Lilac,Glass fleck,,
OPI,Wooden Shoe Like To Know,Holland,Taupe,Hidden Shimmer,,
OPI,Jade is the New Black,Hong Kong ,Jade,Creme,,
OPI,Let them Eat Rice Cake,Japanese,Nude pink,Creme,,
OPI,Black Shatter,Katy Perry,Black,Crackle,,
OPI,Not Like the Movies,Katy Perry,Grey/green,Duochrome,,
OPI,Teenage Dream,Katy Perry,Pink,Holo glitter,,
OPI,You Rock-apulco Red!,Mexico,Red,Shimmer,,
OPI,It's My Year,Miss Universe,Purple,Glass fleck,,
OPI,Warm & Fozzie,Muppets,Bronze,Shimmer,,
OPI,Vampire State Building,New York City,Wine,Creme,,
OPI,I Lily Love You,Nice Stems,Pink,Flakie,,
OPI,Fly,Nicki Minaj,Teal,Creme,,
OPI,Metallic 4 Life,Nicki Minaj,Black and silver,Glitter,,
OPI,Peel Me a Gobi Grape,Painted Desert,Purple w/ gold shimmer,Shimmer,,
OPI,Mermaid's Tears,Pirates of the Carribean,Seafoam green,Creme,,
OPI,Planks a Lot,Pirates of the Carribean,Lavender,Creme,,
OPI,Silver Shatter,Pirates of the Carribean,Silver,Crackle,,
OPI,Skull & Glossbones,Pirates of the Carribean,Grey,Creme,,
OPI,Steady as She Rose,Pirates of the Carribean,Pink,Creme,,
OPI,Stranger Tides,Pirates of the Carribean,Greyed-out pastel green,Creme,,
OPI,Alpine Snow,Princess Minis,White,Creme,mini,
OPI,Bubble Bath,Princess Minis,Pink,Sheer ,mini,
OPI,Pink-ing of You,Princess Minis,Pink,Sheer ,mini,
OPI,Cheyenne Pepper,Rocky Mountain,Bronze,Shimmer,,
OPI,Spark de Trimphe,Serena Williams,Silver,Glitter,,
OPI,Hawaiian Orchid,Soft Shades,Pink,Shimmer,,
OPI,Pirouette My Whistle,Soft Shades NYC Ballet,White,Glitter,,
OPI,Into the Night,Spiderman,Blue,Shimmer,,
OPI,Just Spotted the Lizard,Spiderman,Green to gold,Duochrome,,
OPI,Number One Nemesis,Spiderman,Gunmetal,Shimmer,,
OPI,Your Web or Mine?,Spiderman,Pink,Shimmer,,
OPI,Lincoln Park After Dark Suede,Suede,Purple,Matte (sueded),,
OPI,Glitzerland,Swiss,Gold,Foil,,
OPI,Ski Teal We Drop,Swiss,Teal,Creme,,
OPI,Houston We Have a Purple,Texas,Purple ,Jelly,,
OPI,A-Taupe the Space Needle,Touring America,Brown,Creme,,
OPI,French Quarter For Your Thoughts,Touring America,Grey,Creme,,
OPI,Get in the Expresso Lane,Touring America,Brown ,Creme,,
OPI,Midnight Blue Glitter,Tuxedo,Blue and grey,Glitter,,
OPI,Hungary for my Honey,World Collection,Rusty orange,Shimmer,,
OPI,OPI & Apple Pie,World Collection,Orange ,Creme,,
OPI,Creme de Menthe,X Collection,Mint green,Shimmer,,
OPI,Rainforest,X Collection,Green,Shimmer,,
OPI,Bronzed To Perfection,,Bronze,Shimmer,,
OPI,DS Bold,,Red,Glitter,,
OPI,DS Desire,,Brown,Holo,,
OPI,Gold Shatter,,Gold,Shatter,,
OPI,Pluto Plum,,Maroon,Duochrome,,
OPI,Telepathic Topaz,,Copper,Duochrome,,
OPI ,DS Fantasy,DS,Navy blue,Holo glitter,,
OPI ,Danke Shiny Red,Germany,Red,Shimmer,,
OPI ,Deutsch You Want Me Baby?,Germany,Orange,Shimmer,,
OPI ,Every Month is Oktoberfest,Germany,Blurple/red,Shimmer,,
OPI ,My Very First Knockwurst,Germany,Nude,Creme,,
OPI ,Zom-body to Love,Halloween 2011,Green,Glow in the dark,,
OPI ,Keys to my Karma,India,Dark pink,Jelly,,
OPI ,Black Tie Optional,World,Purple/green,Duochrome,,
OPI ,Galactic Spice,,Red to orange,Duochrome,,
OPI ,Jasper Jade,,Forest green,Shimmer,,
OPI ,Maine-iac Mauve,,Mauve w/ gold,Shimmer,,
OPI ,Mod About You,,Pink,Creme,,
Optic Lusion,Daybreak Bronze,,Bronze/pink,Duochrome,,
Orly,Nite Owl,Birds of a Feather,Taupe,Brocade shimmer,,
Orly,Decades of Dysfunction,Dark Shadows,Nude,Creme,,
Orly,Androgynie,Holiday Soiree,Black w/ holo hex glitter,Glitter,,
Orly,Jungle Love,Old style bottle,Olive Green,Shimmer,,
Orly,Moon Shadow,Old style bottle,Purple,Shimmer,,
Orly,Fancy Fuchsia,Precious,Neon pink,Creme,,
Orly,Royal Velvet,Precious,Blue/purple,Duochrome,,
Orly,Lemonade,Sweet,Pale yellow,Creme,,
Orly,Glowstick,,Yellow,Neon,,
Orly ,Bubbly Bomshell,Pin Up,Fuchsia,Glitter,,
Orly ,Here Comes Trouble,Pin Up,Lime green,Glitter,,
Orly - Instant Artist,Crisp White,,White,Creme,,
Orly - Salon Nails,Ho! Ho! Ho! ,,Red,Glitter,,
Orly - Salon Nails,Mistletoe,,Green,Glitter,,
Orly - Salon Nails,Plum Pudding,,Purple w/ silver,Glitter,,
Orly - Salon Nails,Silent Night,,Blue w/ silver,Glitter,,
Orly - Satin Hues,Satin Patina,,Green,Satin,,
Pahlish,Dark Parades,,Purple w/ multi,Glitter,,
Pahlish,Sullen Girl,,Holo,Glitter,,
Petites Color Fever,Periwinkle,,Periwinkle,Creme,,
Piggy Polish,Lightmare,,Grey and orange,Glitter,,
Pretty & Polished,Hello Dolly,,Multi,Glitter,,
Pretty & Polished,Jawbreaker,,White w/ multi,Glitter,,
Pretty & Polished,Libra Scales,,Blue,Glitter,,
Pretty & Polished,Party on my Yacht,,White w/ multi glitter,Glitter,,
Pretty & Polished,Sand Art,,Multi,Glitter,,
Pretty Serious,BSOD,,Blue,Glitter,,
Pretty Serious,CGA,,Lavender ,Shimmer,,
Pretty Serious,Creature Crush,,Gunmetal,Glitter,,
Pretty Serious,Elliot,,Blue,Shimmer,,
Pretty Serious,Emma Louise,,Green and purple,Glitter,,
Pretty Serious,Forbidden Fruit,,White,Shimmer,,
Pretty Serious,Gargoyle Ganache,,Gunmetal w/ purple,Shimmer,,
Pretty Serious,Into Dreams,,Purple,Shimmer,,
Pretty Serious,Liquid Leprechaun,,Green,Glitter,,
Pretty Serious,Mummy Mush,,Peach,Shimmer,,
Pretty Serious,Nightmaren,,Red,Shimmer,,
Pretty Serious,Nightopia,,Teal,Shimmer,,
Pretty Serious,Poltergeist Puddle,,Purple,Shimmer,,
Pretty Serious,Viscous Vampire,,Red,Glitter,,
Pretty Serious,VT100,,Green w. gold,Shimmer,,
Pumpkin Polish,Clear,,Clear,Black light,,
Pumpkin Polish,Purple and blue glitter,,Purple and blue,Glitter,,
Pumpkin Polish,unnamed hot pink,,Hot pink,Glow in the dark,,
Pumpkin Polish,unnamed purple glitter,,Purple,Glitter,,
Pumpkin Polish,unnmed orange glitter,,Orange,Glow in the dark,,
Pure Ice,Heartbreaker,,Green shimmer,Shimmer,,
Pure Ice - Crackle,Shattered,,Lime green,Crackle,,
Revlon,Berry Chic Crystal,Old style bottle,Berry,Glass fleck,,
Revlon,Blackberry,Old style bottle,Burgundy,Shimmer,,
Revlon,Blue,Old style bottle,Blue w/ blue microglitter,Shimmer,,
Revlon,Crystal Ball,Old style bottle,Purple w/ aqua flash,Shimmer,,
Revlon,Crystal Calm,Old style bottle,Blue/gold,Duochrome,,
Revlon,Daring,Old style bottle,Red/green,Duochrome,,
Revlon,Firecracker,Old style bottle,Red,Glitter,Decant,
Revlon,Groovy,Old style bottle,Purple holo,Bar glitter,,
Revlon,Hot Rock,Old style bottle,Pink,Glitter,,
Revlon,Jaded,Old style bottle,Green,Shimmer,,
Revlon,KhakiZing,Old style bottle,Purple to green,Multichrome,,
Revlon,Lavender Smoke,Old style bottle,Purple,Shimmer,,
Revlon,Levitate,Old style bottle,Peach w/ green flash,Shimmer,,
Revlon,Magical,Old style bottle,Blue,Shimmer,,
Revlon,MangoZing,Old style bottle,Gold/orange,Shimmer,,
Revlon,Mesmerized,Old style bottle,Purple/green,Duochrome,,
Revlon,Mesmerized,Old style bottle,Purple/green,Duochrome,,
Revlon,Mystical,Old style bottle,Blue/purple,Duochrome,,
Revlon,Nordic Skye,Old style bottle,Aqua,Shimmer,,
Revlon,Pink Twinkle,Old style bottle,Pink,Glitter,,
Revlon,Psychedelic,Old style bottle,Pink holo,Bar glitter,,
Revlon,Punch Chrome,Old style bottle,Pink,Chrome,,
Revlon,Splashy,Old style bottle,Blue/gold,Duochrome,,
Revlon,Tidal Wave,Old style bottle,Turquoise,Shimmer,,
Revlon,Carbonite,,Gunmetal,Metallic,,
Revlon,Cherries in the Snow,,Pink-red,Creme,,
Revlon,Devil's Lure,,Vampy red,Jelly,,
Revlon,Mistletoe,,Forest Green,Shimmer,,
Revlon,Pineapple Fizz,,Yellow,Glass fleck,pineapple scented,
Revlon,Plum Seduction,,Plum w/ silver microglitter,Glitter,,
Revlon,Royal Cloak,,Purple,Flakey,,
Revlon,Starry Pink,,Baby pink w/ silver glitter,Glitter,,
Revlon,Steel-her Heart,,Gunmetal,Metallic,,
Revlon ,CitrusZing,Old style bottle,Bronze,Shimmer,,
Revlon ,Disco,Old style bottle,Blue holo,Bar glitter,,
Revlon ,Get Reddy,Old style bottle,Red w/ gold shimmer,Shimmer,,
Revlon ,Laser Lavender,Old style bottle,Purple w/ blue flash,Shimmer,,
Revlon ,Potion,Old style bottle,Pink w/ blue flash,Shimmer,,
Revlon ,Whimsical,,Blue w/ blue and pink glitter,Jelly,,
Revlon - Color Chrome,Cool Chrome,,Blue ,Chrome,,
Revlon - Color Chrome,Khaki Chrome,,Bronze.green,Chrome,,
Revlon - Color Illusion,Cocoa Shimmer,,Brown w/ red shimmer,Shimmer,,
Revlon - Color Illusion,Crimson Sparkle,,Red,Shimmer,,
Revlon - Color Illusion,Lilac Beam ,,Lavender with blue flash,Shimmer,,
Revlon - Color Illusion,Plum Flip,,Plum/green/bronze,Duochrome,,
Revlon - Color Illusion,Silver Switch,,Purple/green,Duochrome,,
Revlon - Color Illusion,Steel Magic,,Purple/green,Multichrome,,
Revlon - Just Tinted,Victorian,,Hot pink,Jelly,,
Revlon - Top Speed,Daring,Old style bottle,Red,Multichrome,,
Revlon - Top Speed,Mint,Old style bottle,Mint,Jelly,,
Revlon - Top Speed,Haunted Heart,,Orange,Shimmer,,
Revlon - Top Speed,Royal,,Royal blue,Jelly,,
Revlon - Top Speed,Wicked Star,,Green ,Shimmer,,
Revlon Streetwear,Angelic,,Pink w/ silver glitter,Glitter,,
Revlon Streetwear,Black Widow,,Black and silver,Bar glitter,,
Revlon Streetwear,Blood,,Dark red,Shimmer,darker version,
Revlon Streetwear,Blood,,Red,Shimmer,lighter version,
Revlon Streetwear,Burnt,,Burnt yellow ,Creme,,
Revlon Streetwear,Burnt,,Olive green,Shimmer,UK version,
Revlon Streetwear,Charm Bracelet,,Iridescent,Glitter,,
Revlon Streetwear,Confetti,,Multi,Glitter,,
Revlon Streetwear,Costume Party,,Purple,Bar glitter,,
Revlon Streetwear,Dark,,Navy w/ silver microglitter,Glitter,,
Revlon Streetwear,Deception,,Green,Shimmer,,
Revlon Streetwear,Downtown Chic,,Pink,Metallic,smaller bottle,
Revlon Streetwear,Drab,,Olive green,Hidden shimmer,,
Revlon Streetwear,E = MC2,,Blue w/ silver ,Glitter,,
Revlon Streetwear,Energy,,Green iridescent,Glitter,,
Revlon Streetwear,Forbidden,,Brown w/ green shimmer,Shimmer,,
Revlon Streetwear,Forest,,Forest green,Shimmer,,
Revlon Streetwear,FX Flash,,Green w/ color shift glitter,Glitter,green version,
Revlon Streetwear,FX Flash,,Blue,Color shift glitter,blue version,
Revlon Streetwear,Ggold Mmine,,Patina gold,Shimmer,,
Revlon Streetwear,Grape,,Deep purple,Hidden Shimmer,,
Revlon Streetwear,Grinch,,Green ,Glitter,Decant,
Revlon Streetwear,Halo,,Yellow w/ silver glitter,Glitter,,
Revlon Streetwear,Imagination,,Gold,Glitter,,
Revlon Streetwear,Infinity,,Pink w/ silver microglitter,Shimmer,,
Revlon Streetwear,Jam,,Purple ,Frost,,
Revlon Streetwear,Kwanza,,"Green, red, black",Bar glitter,,
Revlon Streetwear,Mean,,Brown,Shimmer,,
Revlon Streetwear,Merry,,Red,Shimmer,,
Revlon Streetwear,Meteor Shower,,Purple,Glitter,,
Revlon Streetwear,Midnight,,Midnight blue,Shimmer,,
Revlon Streetwear,Monster Mash,,Green,Bar glitter,,
Revlon Streetwear,Moody,,Teal,Hidden Shimmer,,
Revlon Streetwear,Moody,,Blueish-brown,Shimmer,radioactive bong water version,
Revlon Streetwear,Mrs. Claus,,Red,Jelly,,
Revlon Streetwear,Mystical,,Pewter/gold/seafoam,Shimmer,,
Revlon Streetwear,Next Dimension,,Blue,Foil,,
Revlon Streetwear,Nothing,,Nude,Hidden Shimmer,,
Revlon Streetwear,Oct 31st,,Black and orange,Bar glitter,,
Revlon Streetwear,Poetry,,Iridescent,Glitter,,
Revlon Streetwear,Prince Charming,,Blue,Holo glitter,,
Revlon Streetwear,Prism,,Silver holo,Glitter,,
Revlon Streetwear,Reveal It,,Mauve,Foil,,
Revlon Streetwear,Rudolph,,Red ,Glitter,,
Revlon Streetwear,Seductive,,Purple,Shimmer,,
Revlon Streetwear,Serene,,Mint green w/ silver glitter,Glitter,,
Revlon Streetwear,Shady,,Purple/green/gold,Shimmer,,
Revlon Streetwear,Silver Bells,,Silver w/ pink flash,Shimmer,,
Revlon Streetwear,Stain,,Red,Hidden Shimmer,,
Revlon Streetwear,Tangy,,Orange,Hidden Shimmer,,
Revlon Streetwear,Taxi,,Yellow ,Hidden Shimmer,,
Revlon Streetwear,Time Machine,,Green,Glitter,,
Revlon Streetwear,Time Warp,,Pink,Glitter,,
Revlon Streetwear,Toad,,Lime Green,Hidden Shimmer,,
Revlon Streetwear,Toad,,Olive green,Shimmer,dark version,
Revlon Streetwear,Trick or Treat,,Orange,Hidden Shimmer,,
Revlon Streetwear,Villain,,Royal purple w/ blue flash,Shimmer,,
Revlon Streetwear,Voltage,,Medium pink,Creme,,
Revlon Streetwear,Voodoo,,Purple,Shimmer,,
Revlon Streetwear,Warp Speed,,Red,Glitter,,
Revlon Streetwear,Witchy,,Mint green,Hidden Shimmer,,
Rimmel,Amazon,,Olive green,Shimmer,,
Rimmel,Mania,,Teal/green,Shimmer,,
Rimmel,Sonic,,Pink,Duochrome,,
Rimmel,Zeitgeist,,Purple,Multichrome,,
Rimmel - Vinyl Stars,Eccentricity,,Gold,Holo glitter,,
Rimmel - Vinyl Stars,Twisted Chic,,Purple,Holo glitter,,
Sally Hansen - Chrome,Titanium Chrome,,Silver,Chrome,,
Sally Hansen - Chrome Nail Makeup,Aqua Chrome,,Aqua,Chrome,,
Sally Hansen - Chrome Nail Makeup,Black Pearl Chrome,,Silver,Chrome,,
Sally Hansen - Chrome Nail Makeup,Purple Sapphire,,Purple,Chrome,,
Sally Hansen - Complete Salon Manicure,"Starry, Starry Flight",,Silver,Glitter,,
Sally Hansen - Gem Crush,Big Money,,Gold and lavendar,Glitter,,
Sally Hansen - Hard as Nails,14 Karat,,Gold,Glitter,,
Sally Hansen - Hard as Nails,3D,,Red,Holo glitter,,
Sally Hansen - Hard as Nails,Black Cat,,Black with iridescent,Glitter,,
Sally Hansen - Hard as Nails,Bold Frost,,Teal,Frost,,
Sally Hansen - Hard as Nails,Bombshell,,Dark red,Creme,,
Sally Hansen - Hard as Nails,Cool It! Frost,,Yellow ,Frost,,
Sally Hansen - Hard as Nails,Cyber,,Lime Green,Holo glitter,,
Sally Hansen - Hard as Nails,Denim Creme,,Blue,Creme,,
Sally Hansen - Hard as Nails,Diamond Dust,,Silver holo,Glitter,,
Sally Hansen - Hard as Nails,Dimension,,Blue,Glitter,,
Sally Hansen - Hard as Nails,Electrode,,Purple and holo,Glitter,,
Sally Hansen - Hard as Nails,Funky Frost,,Turquoise,Shimmer,,
Sally Hansen - Hard as Nails,Ghost,,White,Glitter,,
Sally Hansen - Hard as Nails,Holly Daze,,"Silver, green, red",Glitter,,
Sally Hansen - Hard as Nails,Hologem,,Silver,Holo glitter,,
Sally Hansen - Hard as Nails,Hot Sauce,,Red,Shimmer,,
Sally Hansen - Hard as Nails,Jack-o-Lantern,,Orange ,Glitter,,
Sally Hansen - Hard as Nails,Jingle Belle,,Red and green ,Glitter,Decant,
Sally Hansen - Hard as Nails,Laser ,,Red and gold,Glitter,,
Sally Hansen - Hard as Nails,Magnet,,Blue and silver,Holo glitter,,
Sally Hansen - Hard as Nails,Nuclear,,Gold,Holo glitter,,
Sally Hansen - Hard as Nails,Pumpkin,,Orange ,Glitter,,
Sally Hansen - Hard as Nails,Radar,,Brick red and silver,Holo glitter,,
Sally Hansen - Hard as Nails,Ruby Slippers,,Red,Glitter,,
Sally Hansen - Hard as Nails,Santa,,Red and purple,Glitter,,
Sally Hansen - Hard as Nails,Shimmer,,Green,Glitter,,
Sally Hansen - Hard as Nails,Shock Frost,,Lime green,Frost,,
Sally Hansen - Hard as Nails,Skeleton,,White w/ multi,Glitter,,
Sally Hansen - Hard as Nails,Slick Frost,,Orange w/ gold flash ,Shimmer,,
Sally Hansen - Hard as Nails,Slime,,Green,Glitter,,
Sally Hansen - Hard as Nails,Sonar,,Teal and silver,Holo glitter,,
Sally Hansen - Hard as Nails,Sparkle,,Red,Glitter,,
Sally Hansen - Hard as Nails,Spooktacular,,Orange and black,Glitter,,
Sally Hansen - Hard as Nails,Star Sapphire,,Blue,Glitter,,
Sally Hansen - Hard as Nails,Stylish Frost,,Yellow,Frost,,
Sally Hansen - Hard as Nails,Sugar Plum,,Blue and purple,Glitter,,
Sally Hansen - Hard as Nails,Tailored Creme,,Grey,Creme,,
Sally Hansen - Hard as Nails,Techno,,Purple,Holo glitter,,
Sally Hansen - Hard as Nails,Trick or Treat,,Black and iridescent,Glitter,,
Sally Hansen - Hard as Nails,Tutti Frutti Frost,,Hot pink,Shimmer,,
Sally Hansen - Hard as Nails,Vampira,,Red and silver glitter,Glitter,,
Sally Hansen - Hard as Nails,Wicked,,Orange and black,Glitter,,
Sally Hansen - Hard as Nails,Wired,,Brown and silver,Holo glitter,,
Sally Hansen - Hard as Nails,Witches' Brew,,Black w/ orange glitter,Glitter,,
Sally Hansen - Hard as Nails (New),Hard Cash,,Green,Glass fleck,,
Sally Hansen - Hard as Nails w/ Nylon,Blue Velvet Frost,,Purple,Frost,,
Sally Hansen - Hard as Nails with Nylon,Astral,,Sky blue w/ holo glitter,Glitter,,
Sally Hansen - Hard as Nails with Nylon,Celebrate,,"Gold, green, purple",Bar glitter,,
Sally Hansen - Hard as Nails with Nylon,Confetti,,Silver holo,Bar glitter,,
Sally Hansen - Hard as Nails with Nylon,Edgy Creme,,Olive green,Creme,,
Sally Hansen - Hard as Nails with Nylon,Festive,,Purple and silver,Glitter,,
Sally Hansen - Hard as Nails with Nylon,Festive,,Green and red,Bar glitter,,
Sally Hansen - Hard as Nails with Nylon,Futurist,,Lavender w/ holo glitter,Glitter,,
Sally Hansen - Hard as Nails with Nylon,Gala,,Blue and magenta,Bar glitter,,
Sally Hansen - Hard as Nails with Nylon,Instant Lottery,,Gunmetal,Glitter,,
Sally Hansen - Hard as Nails with Nylon,Kiss,,Red,Bar glitter,,
Sally Hansen - Hard as Nails with Nylon,Mistletoe,,Green,Bar glitter,,
Sally Hansen - Hard as Nails with Nylon,Party Hat,,Blue,Bar glitter,,
Sally Hansen - Hard as Nails with Nylon,Pink Champagne,,Lavender and gold,Bar glitter,,
Sally Hansen - Hard as Nails with Nylon,Planetary,,Magenta w/ holo glitter,Glitter,,
Sally Hansen - Hard as Nails with Nylon,Quasar,,Brown w/ holo glitter,Glitter,,
Sally Hansen - Hard as Nails with Nylon,Reflective,,Blue w/ holo glitter,Glitter,,
Sally Hansen - Hard as Nails with Nylon,Rich Lady,,Brown,Glitter,,
Sally Hansen - Hard as Nails with Nylon,So-Sari Frost,,Pink,Shimmer,,
Sally Hansen - Hard as Nails with Nylon,Stellar,,Taupe w/ holo glitter,Glitter,,
Sally Hansen - Hard as Nails with Nylon,Streamers,,Green and silver holo,Bar glitter,,
Sally Hansen - Hard as Nails with Nylon,Sweepstakes,,Gold,Glitter,,
Sally Hansen - Hard as Nails with Nylon,Tinsel,,Silver,Glitter,,
Sally Hansen - Hard as Nails with Nylon,To the Moon,,Antique silver w/ holo glitter,Glitter,,
Sally Hansen - Hard as Nails with Nylon,Twinkle,,Iridescent,Bar glitter,,
Sally Hansen - Insta Dri,Blue-Away,,Baby blue,Creme,,
Sally Hansen - Insta Dri,Brisk Blue,,Medium blue,Creme,,
Sally Hansen - Insta Dri,Flashy Fuchsia,,Fuchsia w/ blue flash,Creme,,
Sally Hansen - Insta Dri,Freeze!,,Blue,Foil,,
Sally Hansen - Insta Dri,Lickety-Split Lime,,Lime green,Creme,,
Sally Hansen - Insta Dri,Mint Sprint,,Turquoise,Creme,,
Sally Hansen - Insta Dri,Peachy Breeze,,Salmon-orange,Creme,,
Sally Hansen - Insta Dri,Pink Blink,,Pink,Creme,,
Sally Hansen - Insta Dri,Raspberry Race,,Raspberry purple,Creme,,
Sally Hansen - Insta Dry,Bronze Ablaze,,Bronze,Shimmer,,
Sally Hansen - Lacquer Shine,Gleaming,,Fuchsia,Metallic,,
Sally Hansen - Magnetic,Electric Emerald,,Green,Magentic,,
Sally Hansen - New Lengths,Amber Beads Creme,,Amber w/ gold,Shimmer,,
Sally Hansen - New Lengths,Cobblestone Creme,,Brown,Creme,,
Sally Hansen - New Lengths,Marble Creme,,Light blue,Creme,,
Sally Hansen - New Lengths,Tangy Beet Frost,,Burgundy,Shimmer,,
Sally Hansen - New Lengths,Xtreme Frost,,Blue ,Shimmer,,
Sally Hansen - Prisms,Amber Ruby,,Red,Multichrome,,
Sally Hansen - Prisms,Emerald Amethyst,,Purple,Multichrome,,
Sally Hansen - Prisms,Lapis Amethyst,,Blue/purple,Duochrome,,
Sally Hansen - Salon,Project Runway,Canadian Exclusive,Green,Brocade shimmer,,
Sally Hansen - Salon,Valentino,Candian Exclusive,Brown w/ gold shimmer,Shimmer,,
Sally Hansen - Salon,Arabian Night,,Purple,Brocade shimmer,,
Sally Hansen - Teflon Tuff,Flirt Alert,,Multi,Glitter,,
Sally Hansen - Teflon Tuff,Secrets Frost,,Silver,Holo glitter,,
Sally Hansen - Xtreme Wear,Caribbean Coral,,Coral,Shimmer,,
Sally Hansen - Xtreme Wear,Celeb City,,Silver,Foil,,
Sally Hansen - Xtreme Wear,Fuchsia Power,,Hot pink,Creme,,
Sally Hansen - Xtreme Wear,Lacey Lilac,,Lilac,Creme,,
Sally Hansen - Xtreme Wear,Mellow Yellow,,Hot yellow,Creme,,
Sally Hansen - Xtreme Wear,Mint Sorbet,,Mint green ,Creme,,
Sally Hansen - Xtreme Wear,Mystic Lilac,,Lilac w/ green shimmer,Shimmer,,
Sally Hansen - Xtreme Wear,Purple Potion,,Purple w/ blue flash,Shimmer,,
Sally Hansen - Xtreme Wear,Sun Kissed,,Vibrant orange,Creme,,
Sally Hansen - Xtreme Wear,Teeny Greeny Bikini,,Green,Foil,,
Sally Hansen - Xtreme Wear,The Real Teal,,Vibrant teal,Shimmer,,
Sally Hansen - Xtreme Wear,White On,,White,Creme,have 2,
Sation,I'm Not a Cougar,,Orange,Glitter,,
Sephora,Amethyst Stiletto,,Purple,Foil,,
Sephora,I Love Matte Khaki,,Sea green,Matte (sueded),,
Sephora,Purple Jewelry,,Orange,Flakies,,
Sephora,Silver Rain,,Silver,Bar glitter,,
Sephora by OPI,"If You've Got It, Haunt It",,Grey w/ multi,Glitter,,
Sinful Colors,Cinderella,,Blue,Shimmer,,
Smackers,Blueberry Blast-Off,,Blue/green/red,Glitter,,
Smackers,Candy Confetti,,Multi,Glitter,,
Smackers,Galactic Grape,,Purple,Foil,,
Smackers,Shooting Starfruit,,Pink,Shimmer,,
Snowman Polish,Red and green glitter,,Red and green,Glitter,,
Spoiled,Pet My Peacock,,"Gold, green, blue",Glitter,,
